month,year,quarter,quarter_num,month_num,year_month,month_name,fiscal_year,is_festive,is_covid
2020-01-01,2020,2020Q1,1,1,2020-01,Jan 2020,FY20,False,False
2020-02-01,2020,2020Q1,1,2,2020-02,Feb 2020,FY20,False,False
2020-03-01,2020,2020Q1,1,3,2020-03,Mar 2020,FY20,False,True
2020-04-01,2020,2020Q2,2,4,2020-04,Apr 2020,FY21,False,True
2020-05-01,2020,2020Q2,2,5,2020-05,May 2020,FY21,False,True
2020-06-01,2020,2020Q2,2,6,2020-06,Jun 2020,FY21,False,True
2020-07-01,2020,2020Q3,3,7,2020-07,Jul 2020,FY21,False,True
2020-08-01,2020,2020Q3,3,8,2020-08,Aug 2020,FY21,False,True
2020-09-01,2020,2020Q3,3,9,2020-09,Sep 2020,FY21,True,True
2020-10-01,2020,2020Q4,4,10,2020-10,Oct 2020,FY21,True,True
2020-11-01,2020,2020Q4,4,11,2020-11,Nov 2020,FY21,True,True
2020-12-01,2020,2020Q4,4,12,2020-12,Dec 2020,FY21,False,True
2021-01-01,2021,2021Q1,1,1,2021-01,Jan 2021,FY21,False,True
2021-02-01,2021,2021Q1,1,2,2021-02,Feb 2021,FY21,False,True
2021-03-01,2021,2021Q1,1,3,2021-03,Mar 2021,FY21,False,True
2021-04-01,2021,2021Q2,2,4,2021-04,Apr 2021,FY22,False,True
2021-05-01,2021,2021Q2,2,5,2021-05,May 2021,FY22,False,True
2021-06-01,2021,2021Q2,2,6,2021-06,Jun 2021,FY22,False,True
2021-07-01,2021,2021Q3,3,7,2021-07,Jul 2021,FY22,False,False
2021-08-01,2021,2021Q3,3,8,2021-08,Aug 2021,FY22,False,False
2021-09-01,2021,2021Q3,3,9,2021-09,Sep 2021,FY22,True,False
2021-10-01,2021,2021Q4,4,10,2021-10,Oct 2021,FY22,True,False
2021-11-01,2021,2021Q4,4,11,2021-11,Nov 2021,FY22,True,False
2021-12-01,2021,2021Q4,4,12,2021-12,Dec 2021,FY22,False,False
2022-01-01,2022,2022Q1,1,1,2022-01,Jan 2022,FY22,False,False
2022-02-01,2022,2022Q1,1,2,2022-02,Feb 2022,FY22,False,False
2022-03-01,2022,2022Q1,1,3,2022-03,Mar 2022,FY22,False,False
2022-04-01,2022,2022Q2,2,4,2022-04,Apr 2022,FY23,False,False
2022-05-01,2022,2022Q2,2,5,2022-05,May 2022,FY23,False,False
2022-06-01,2022,2022Q2,2,6,2022-06,Jun 2022,FY23,False,False
2022-07-01,2022,2022Q3,3,7,2022-07,Jul 2022,FY23,False,False
2022-08-01,2022,2022Q3,3,8,2022-08,Aug 2022,FY23,False,False
2022-09-01,2022,2022Q3,3,9,2022-09,Sep 2022,FY23,True,False
2022-10-01,2022,2022Q4,4,10,2022-10,Oct 2022,FY23,True,False
2022-11-01,2022,2022Q4,4,11,2022-11,Nov 2022,FY23,True,False
2022-12-01,2022,2022Q4,4,12,2022-12,Dec 2022,FY23,False,False
2023-01-01,2023,2023Q1,1,1,2023-01,Jan 2023,FY23,False,False
2023-02-01,2023,2023Q1,1,2,2023-02,Feb 2023,FY23,False,False
2023-03-01,2023,2023Q1,1,3,2023-03,Mar 2023,FY23,False,False
2023-04-01,2023,2023Q2,2,4,2023-04,Apr 2023,FY24,False,False
2023-05-01,2023,2023Q2,2,5,2023-05,May 2023,FY24,False,False
2023-06-01,2023,2023Q2,2,6,2023-06,Jun 2023,FY24,False,False
2023-07-01,2023,2023Q3,3,7,2023-07,Jul 2023,FY24,False,False
2023-08-01,2023,2023Q3,3,8,2023-08,Aug 2023,FY24,False,False
2023-09-01,2023,2023Q3,3,9,2023-09,Sep 2023,FY24,True,False
