month,product_category,company,units
2023-09-01,Earwear,Amazon.com,32898.0
2023-10-01,Earwear,Amazon.com,9999.0
2023-12-01,Earwear,Amazon.com,3700.0
2024-01-01,Earwear,Amazon.com,10780.0
2024-02-01,Earwear,Amazon.com,1998.0
2024-04-01,Earwear,Amazon.com,50050.0
2024-05-01,Earwear,Amazon.com,7735.0
2024-06-01,Earwear,Amazon.com,44787.0
2024-08-01,Earwear,Amazon.com,4050.0
2024-09-01,Earwear,Amazon.com,52157.0
2024-10-01,Earwear,Amazon.com,72470.0
2024-11-01,Earwear,Amazon.com,6120.0
2025-02-01,Earwear,Amazon.com,23110.0
2025-03-01,Earwear,Amazon.com,9580.0
2025-05-01,Earwear,Amazon.com,4408.0
2025-06-01,Earwear,Amazon.com,29328.0
2025-07-01,Earwear,Amazon.com,18350.0
2025-08-01,Earwear,Amazon.com,24051.0
2025-09-01,Earwear,Amazon.com,27515.0
2025-10-01,Earwear,Amazon.com,23335.0
2025-11-01,Earwear,Amazon.com,11032.0
2025-12-01,Earwear,Amazon.com,8969.0
2026-01-01,Earwear,Amazon.com,5398.0
2026-02-01,Earwear,Amazon.com,3179.0
2026-03-01,Earwear,Amazon.com,4150.0
2023-06-01,Earwear,Ambrane,9998.0
2020-01-01,Earwear,Anker,1300.0
2020-02-01,Earwear,Anker,250.0
2020-03-01,Earwear,Anker,1300.0
2020-05-01,Earwear,Anker,10000.0
2020-06-01,Earwear,Anker,19030.0
2020-07-01,Earwear,Anker,9830.0
2020-08-01,Earwear,Anker,4030.0
2020-09-01,Earwear,Anker,15000.0
2020-10-01,Earwear,Anker,29220.0
2020-12-01,Earwear,Anker,12249.0
2021-01-01,Earwear,Anker,15999.0
2021-04-01,Earwear,Anker,2985.0
2021-10-01,Earwear,Anker,72746.0
2021-11-01,Earwear,Anker,68616.0
2021-12-01,Earwear,Anker,43447.0
2022-01-01,Earwear,Anker,99468.0
2022-02-01,Earwear,Anker,44263.0
2022-03-01,Earwear,Anker,15220.0
2022-05-01,Earwear,Anker,9997.0
2022-08-01,Earwear,Anker,6789.0
2022-09-01,Earwear,Anker,4518.0
2022-10-01,Earwear,Anker,8995.0
2022-11-01,Earwear,Anker,232.0
2023-03-01,Earwear,Anker,5621.0
2023-04-01,Earwear,Anker,4379.0
2023-05-01,Earwear,Anker,2987.0
2023-06-01,Earwear,Anker,32.0
2023-07-01,Earwear,Anker,25678.0
2023-08-01,Earwear,Anker,41588.0
2023-09-01,Earwear,Anker,74467.0
2023-10-01,Earwear,Anker,28405.0
2023-11-01,Earwear,Anker,24237.0
2023-12-01,Earwear,Anker,3980.0
2024-01-01,Earwear,Anker,9095.0
2024-02-01,Earwear,Anker,19520.0
2024-03-01,Earwear,Anker,18225.0
2024-04-01,Earwear,Anker,7250.0
2024-05-01,Earwear,Anker,3210.0
2024-06-01,Earwear,Anker,8203.0
2024-07-01,Earwear,Anker,16521.0
2024-08-01,Earwear,Anker,15420.0
2024-09-01,Earwear,Anker,2254.0
2024-10-01,Earwear,Anker,10696.0
2024-11-01,Earwear,Anker,540.0
2024-12-01,Earwear,Anker,1120.0
2025-01-01,Earwear,Anker,2116.0
2025-02-01,Earwear,Anker,3664.0
2025-03-01,Earwear,Anker,8940.0
2025-04-01,Earwear,Anker,3255.0
2025-05-01,Earwear,Anker,10940.0
2025-06-01,Earwear,Anker,19405.0
2025-07-01,Earwear,Anker,45575.0
2025-08-01,Earwear,Anker,69220.0
2025-09-01,Earwear,Anker,25565.0
2025-10-01,Earwear,Anker,11308.0
2025-11-01,Earwear,Anker,18900.0
2025-12-01,Earwear,Anker,9655.0
2026-01-01,Earwear,Anker,1768.0
2026-02-01,Earwear,Anker,1867.0
2026-03-01,Earwear,Anker,6162.0
2020-01-01,Earwear,Apple,22229.0
2020-02-01,Earwear,Apple,45257.0
2020-03-01,Earwear,Apple,47616.0
2020-05-01,Earwear,Apple,15590.0
2020-06-01,Earwear,Apple,40173.0
2020-07-01,Earwear,Apple,45162.0
2020-08-01,Earwear,Apple,151760.0
2020-09-01,Earwear,Apple,163335.0
2020-10-01,Earwear,Apple,91710.0
2020-11-01,Earwear,Apple,69080.0
2020-12-01,Earwear,Apple,4095.0
2021-01-01,Earwear,Apple,41371.0
2021-02-01,Earwear,Apple,34751.0
2021-03-01,Earwear,Apple,33063.0
2021-04-01,Earwear,Apple,9284.0
2021-05-01,Earwear,Apple,25655.0
2021-06-01,Earwear,Apple,25092.0
2021-07-01,Earwear,Apple,98245.0
2021-08-01,Earwear,Apple,124378.0
2021-09-01,Earwear,Apple,224416.0
2021-10-01,Earwear,Apple,65056.0
2021-11-01,Earwear,Apple,42710.0
2021-12-01,Earwear,Apple,52820.0
2022-01-01,Earwear,Apple,26687.0
2022-02-01,Earwear,Apple,25101.0
2022-03-01,Earwear,Apple,11223.0
2022-04-01,Earwear,Apple,16041.0
