month,product_category,company,value_inr_m
2023-09-01,Earwear,Amazon.com,24.437702
2023-10-01,Earwear,Amazon.com,8.222265000000002
2023-12-01,Earwear,Amazon.com,2.5863
2024-01-01,Earwear,Amazon.com,9.89997
2024-02-01,Earwear,Amazon.com,1.6963019999999995
2024-04-01,Earwear,Amazon.com,41.55494999999999
2024-05-01,Earwear,Amazon.com,4.5902650000000005
2024-06-01,Earwear,Amazon.com,47.096613000000005
2024-08-01,Earwear,Amazon.com,2.6934500000000003
2024-09-01,Earwear,Amazon.com,54.712543
2024-10-01,Earwear,Amazon.com,68.49053
2024-11-01,Earwear,Amazon.com,6.113879999999999
2025-02-01,Earwear,Amazon.com,19.91839
2025-03-01,Earwear,Amazon.com,7.744420000000001
2025-05-01,Earwear,Amazon.com,2.606842
2025-06-01,Earwear,Amazon.com,17.326781999999998
2025-07-01,Earwear,Amazon.com,20.651112
2025-08-01,Earwear,Amazon.com,26.345979
2025-09-01,Earwear,Amazon.com,28.843265
2025-10-01,Earwear,Amazon.com,25.083125
2025-11-01,Earwear,Amazon.com,10.934308
2025-12-01,Earwear,Amazon.com,9.274291
2026-01-01,Earwear,Amazon.com,7.565210000000001
2026-02-01,Earwear,Amazon.com,3.928761
2026-03-01,Earwear,Amazon.com,4.474711
2023-06-01,Earwear,Ambrane,9.988002
2020-01-01,Earwear,Anker,7.148700000000001
2020-02-01,Earwear,Anker,1.49975
2020-03-01,Earwear,Anker,7.148699999999999
2020-05-01,Earwear,Anker,19.99
2020-06-01,Earwear,Anker,42.24997
2020-07-01,Earwear,Anker,21.95917
2020-08-01,Earwear,Anker,9.26497
2020-09-01,Earwear,Anker,32.985
2020-10-01,Earwear,Anker,78.44478
2020-12-01,Earwear,Anker,37.085251
2021-01-01,Earwear,Anker,39.978501
2021-04-01,Earwear,Anker,16.414515
2021-10-01,Earwear,Anker,207.386254
2021-11-01,Earwear,Anker,186.25838400000004
2021-12-01,Earwear,Anker,128.295053
2022-01-01,Earwear,Anker,180.511032
2022-02-01,Earwear,Anker,104.339237
2022-03-01,Earwear,Anker,43.34778
2022-05-01,Earwear,Anker,14.985503
2022-08-01,Earwear,Anker,9.497811
2022-09-01,Earwear,Anker,6.763445999999999
2022-10-01,Earwear,Anker,13.483505
2022-11-01,Earwear,Anker,0.3477679999999999
2023-03-01,Earwear,Anker,8.425879
2023-04-01,Earwear,Anker,7.658870999999999
2023-05-01,Earwear,Anker,9.854113
2023-06-01,Earwear,Anker,0.105568
2023-07-01,Earwear,Anker,60.703422
2023-08-01,Earwear,Anker,102.410212
2023-09-01,Earwear,Anker,234.18719700000003
2023-10-01,Earwear,Anker,110.056595
2023-11-01,Earwear,Anker,50.429963
2023-12-01,Earwear,Anker,23.30956
2024-01-01,Earwear,Anker,44.946905
2024-02-01,Earwear,Anker,26.85648
2024-03-01,Earwear,Anker,102.578275
2024-04-01,Earwear,Anker,39.22215
2024-05-01,Earwear,Anker,12.62979
2024-06-01,Earwear,Anker,43.39979700000001
2024-07-01,Earwear,Anker,70.876779
2024-08-01,Earwear,Anker,58.54458000000002
2024-09-01,Earwear,Anker,8.614346000000001
2024-10-01,Earwear,Anker,51.83610399999999
2024-11-01,Earwear,Anker,1.89146
2024-12-01,Earwear,Anker,7.20464
2025-01-01,Earwear,Anker,10.963644
2025-02-01,Earwear,Anker,10.722936
2025-03-01,Earwear,Anker,17.07806
2025-04-01,Earwear,Anker,10.890745
2025-05-01,Earwear,Anker,24.89718
2025-06-01,Earwear,Anker,50.20316500000001
2025-07-01,Earwear,Anker,115.01412499999998
2025-08-01,Earwear,Anker,152.67777999999996
2025-09-01,Earwear,Anker,41.97135
2025-10-01,Earwear,Anker,20.275492
2025-11-01,Earwear,Anker,28.21332
2025-12-01,Earwear,Anker,12.912065
2026-01-01,Earwear,Anker,2.369499
2026-02-01,Earwear,Anker,1.913633
2026-03-01,Earwear,Anker,13.762145
2020-01-01,Earwear,Apple,379.2720999999999
2020-02-01,Earwear,Apple,728.6393
2020-03-01,Earwear,Apple,783.37801
2020-05-01,Earwear,Apple,357.80309999999963
2020-06-01,Earwear,Apple,792.5321799999999
2020-07-01,Earwear,Apple,844.40004
2020-08-01,Earwear,Apple,2958.3403
2020-09-01,Earwear,Apple,3043.8134
2020-10-01,Earwear,Apple,1626.11062
2020-11-01,Earwear,Apple,1198.01197
2020-12-01,Earwear,Apple,131.40050000000002
2021-01-01,Earwear,Apple,780.0179
2021-02-01,Earwear,Apple,758.2349
2021-03-01,Earwear,Apple,685.5987
2021-04-01,Earwear,Apple,233.7616
2021-05-01,Earwear,Apple,636.6369199999999
2021-06-01,Earwear,Apple,694.4835800000001
2021-07-01,Earwear,Apple,2078.0405
2021-08-01,Earwear,Apple,2297.2472
2021-09-01,Earwear,Apple,3826.19272
2021-10-01,Earwear,Apple,1352.5884
2021-11-01,Earwear,Apple,868.7442000000002
2021-12-01,Earwear,Apple,1085.6872000000003
2022-01-01,Earwear,Apple,419.3110999999999
2022-02-01,Earwear,Apple,565.5600999999999
2022-03-01,Earwear,Apple,275.50769999999994
2022-04-01,Earwear,Apple,378.1633
2022-05-01,Earwear,Apple,660.8371
2022-06-01,Earwear,Apple,419.51738
2022-07-01,Earwear,Apple,1297.760099
2022-08-01,Earwear,Apple,2707.601094
2022-09-01,Earwear,Apple,2447.384284
2022-10-01,Earwear,Apple,1381.4555410000005
2022-11-01,Earwear,Apple,361.49696
2022-12-01,Earwear,Apple,794.4882620000001
2023-01-01,Earwear,Apple,468.79347000000007
2023-02-01,Earwear,Apple,1022.7439859999996
2023-03-01,Earwear,Apple,1655.3633899999995
2023-04-01,Earwear,Apple,497.692207
2023-05-01,Earwear,Apple,1089.2362620000004
2023-06-01,Earwear,Apple,349.614859
2023-07-01,Earwear,Apple,2385.438152000001
2023-08-01,Earwear,Apple,1302.186286
2023-09-01,Earwear,Apple,879.8495720000001
2023-10-01,Earwear,Apple,1815.2247270000005
2023-11-01,Earwear,Apple,1773.2714539999995
2023-12-01,Earwear,Apple,710.4779829999997
2024-01-01,Earwear,Apple,1164.5163549999995
2024-02-01,Earwear,Apple,603.811885
2024-03-01,Earwear,Apple,1597.6833500000005
2024-04-01,Earwear,Apple,1654.749561
2024-05-01,Earwear,Apple,571.230055
2024-06-01,Earwear,Apple,1319.20636
2024-07-01,Earwear,Apple,1961.77368
2024-08-01,Earwear,Apple,3344.8638310000006
2024-09-01,Earwear,Apple,3696.447198
2024-10-01,Earwear,Apple,2729.89181
2024-11-01,Earwear,Apple,619.5430999999999
2024-12-01,Earwear,Apple,1424.1187330000005
2025-01-01,Earwear,Apple,497.1775020000001
2025-02-01,Earwear,Apple,653.914402
2025-03-01,Earwear,Apple,624.7678800000001
2025-04-01,Earwear,Apple,1017.905748
2025-05-01,Earwear,Apple,1420.4845899999998
2025-06-01,Earwear,Apple,2024.2622809999996
2025-07-01,Earwear,Apple,2328.762881
2025-08-01,Earwear,Apple,2557.289854
2025-09-01,Earwear,Apple,3919.389082
2025-10-01,Earwear,Apple,2532.658989
2025-11-01,Earwear,Apple,1449.5572930000003
2025-12-01,Earwear,Apple,2204.014351
2026-01-01,Earwear,Apple,2091.914284
2026-02-01,Earwear,Apple,740.9333120000001
2026-03-01,Earwear,Apple,1897.8790890000005
2023-10-01,Earwear,Bang and Olufsen,3.414
2023-11-01,Earwear,Bang and Olufsen,0.67
2023-12-01,Earwear,Bang and Olufsen,0.4949999999999999
2024-01-01,Earwear,Bang and Olufsen,1.404
2024-02-01,Earwear,Bang and Olufsen,1.354
2024-03-01,Earwear,Bang and Olufsen,1.42
2024-04-01,Earwear,Bang and Olufsen,1.063
2024-05-01,Earwear,Bang and Olufsen,1.943
2024-06-01,Earwear,Bang and Olufsen,2.112
2024-07-01,Earwear,Bang and Olufsen,2.468
2024-08-01,Earwear,Bang and Olufsen,3.337
2024-09-01,Earwear,Bang and Olufsen,2.757
2024-10-01,Earwear,Bang and Olufsen,3.702
2024-11-01,Earwear,Bang and Olufsen,1.638
2024-12-01,Earwear,Bang and Olufsen,3.892
2025-01-01,Earwear,Bang and Olufsen,4.783
2025-02-01,Earwear,Bang and Olufsen,0.6200000000000001
2025-03-01,Earwear,Bang and Olufsen,3.411
2025-04-01,Earwear,Bang and Olufsen,1.65375
2025-05-01,Earwear,Bang and Olufsen,6.8812700000000016
2025-06-01,Earwear,Bang and Olufsen,0.558225
2025-07-01,Earwear,Bang and Olufsen,9.18053
2025-08-01,Earwear,Bang and Olufsen,2.7907500000000005
2025-09-01,Earwear,Bang and Olufsen,11.366346
2025-10-01,Earwear,Bang and Olufsen,5.82525
2025-11-01,Earwear,Bang and Olufsen,2.556741
2025-12-01,Earwear,Bang and Olufsen,2.246151
2026-01-01,Earwear,Bang and Olufsen,3.29766
2026-02-01,Earwear,Bang and Olufsen,5.886361
2026-03-01,Earwear,Bang and Olufsen,4.564189
2023-08-01,Earwear,BeatXP,59.83810199999999
2023-09-01,Earwear,BeatXP,17.412679999999998
2023-10-01,Earwear,BeatXP,61.13879999999999
2023-12-01,Earwear,BeatXP,25.247662
2024-01-01,Earwear,BeatXP,19.16232
2024-02-01,Earwear,BeatXP,13.799481
2024-03-01,Earwear,BeatXP,7.532442999999999
2024-04-01,Earwear,BeatXP,13.035842
2024-05-01,Earwear,BeatXP,8.600422
2024-06-01,Earwear,BeatXP,8.401155
2024-07-01,Earwear,BeatXP,4.787457
2024-08-01,Earwear,BeatXP,2.08447
2024-09-01,Earwear,BeatXP,1.874879
2024-10-01,Earwear,BeatXP,2.119456
2024-11-01,Earwear,BeatXP,0.488157
2025-04-01,Earwear,BeatXP,0.378
2020-03-01,Earwear,Bose,67.840682
2020-05-01,Earwear,Bose,22.550784000000032
2020-07-01,Earwear,Bose,4.40445
2020-08-01,Earwear,Bose,10.27705
2020-09-01,Earwear,Bose,174.2995040000001
2020-10-01,Earwear,Bose,96.430322
2020-11-01,Earwear,Bose,185.571832
2020-12-01,Earwear,Bose,44.239978
2021-05-01,Earwear,Bose,42.64411
2021-06-01,Earwear,Bose,1.9791500000000004
2021-07-01,Earwear,Bose,60.25298
2021-08-01,Earwear,Bose,76.61001
2021-09-01,Earwear,Bose,136.46663999999998
2021-10-01,Earwear,Bose,146.79667999999998
2021-11-01,Earwear,Bose,105.262916
2021-12-01,Earwear,Bose,11.83416
2022-01-01,Earwear,Bose,54.138338000000005
2022-02-01,Earwear,Bose,58.44177099999999
2022-03-01,Earwear,Bose,92.793057
2022-04-01,Earwear,Bose,6.20655
2022-05-01,Earwear,Bose,1.2366
2022-07-01,Earwear,Bose,78.96466399999998
2022-08-01,Earwear,Bose,166.08870599999997
2022-09-01,Earwear,Bose,175.58574000000002
2022-10-01,Earwear,Bose,75.8127
2022-11-01,Earwear,Bose,21.411810000000003
2022-12-01,Earwear,Bose,6.474867
2023-01-01,Earwear,Bose,103.4964
2023-02-01,Earwear,Bose,5.01879
2023-03-01,Earwear,Bose,134.876382
2023-04-01,Earwear,Bose,2.4864
2023-05-01,Earwear,Bose,293.4936
2023-06-01,Earwear,Bose,68.769252
2023-07-01,Earwear,Bose,117.033366
2023-08-01,Earwear,Bose,22.43916
2023-09-01,Earwear,Bose,159.544686
2023-10-01,Earwear,Bose,203.559018
2023-11-01,Earwear,Bose,26.662674
2023-12-01,Earwear,Bose,175.100107
2024-01-01,Earwear,Bose,83.88979400000001
2024-02-01,Earwear,Bose,156.59403999999998
2024-03-01,Earwear,Bose,147.34111900000002
2024-04-01,Earwear,Bose,105.83230000000002
2024-05-01,Earwear,Bose,151.03747600000003
2024-06-01,Earwear,Bose,122.16285
2024-07-01,Earwear,Bose,169.85212
2024-08-01,Earwear,Bose,136.63904000000002
2024-09-01,Earwear,Bose,168.03497399999998
2024-10-01,Earwear,Bose,270.072011
2024-11-01,Earwear,Bose,73.740867
2024-12-01,Earwear,Bose,137.441424
2025-01-01,Earwear,Bose,136.692496
2025-02-01,Earwear,Bose,81.682703
2025-03-01,Earwear,Bose,106.314553
2025-04-01,Earwear,Bose,34.78007899999999
2025-05-01,Earwear,Bose,59.040293
2025-06-01,Earwear,Bose,58.58478
2025-07-01,Earwear,Bose,74.22724199999999
2025-08-01,Earwear,Bose,58.450192
2025-09-01,Earwear,Bose,65.232522
2025-10-01,Earwear,Bose,98.776657
2025-11-01,Earwear,Bose,43.675423
2025-12-01,Earwear,Bose,56.31625
2026-01-01,Earwear,Bose,58.91093
2026-02-01,Earwear,Bose,37.533150000000006
2026-03-01,Earwear,Bose,51.72364
2022-12-01,Earwear,Brandscale,480.3862090000001
2023-01-01,Earwear,Brandscale,119.76836299999998
2023-02-01,Earwear,Brandscale,48.536348
2023-03-01,Earwear,Brandscale,35.818605000000005
2023-04-01,Earwear,Brandscale,34.802614
2023-05-01,Earwear,Brandscale,32.476538
2023-06-01,Earwear,Brandscale,166.792057
2023-07-01,Earwear,Brandscale,206.68903
2023-08-01,Earwear,Brandscale,270.1383
2023-09-01,Earwear,Brandscale,57.12132499999999
2023-11-01,Earwear,Brandscale,63.53661
2023-12-01,Earwear,Brandscale,12.940047000000002
2024-01-01,Earwear,Brandscale,10.4895
2024-02-01,Earwear,Brandscale,51.958701000000005
2024-06-01,Earwear,Brandscale,10.491442
2021-01-01,Earwear,Coolpad,9.571617000000002
2020-01-01,Earwear,Crossbeats,13.994001
2020-06-01,Earwear,Crossbeats,18.305339
2020-07-01,Earwear,Crossbeats,24.611052
2020-08-01,Earwear,Crossbeats,6.558412000000001
2020-10-01,Earwear,Crossbeats,17.040985999999997
2020-11-01,Earwear,Crossbeats,6.56501
2020-12-01,Earwear,Crossbeats,15.619394
2021-02-01,Earwear,Crossbeats,7.494501
2021-03-01,Earwear,Crossbeats,14.000499
2021-07-01,Earwear,Crossbeats,3.5350350000000006
2021-09-01,Earwear,Crossbeats,16.789202
2021-10-01,Earwear,Crossbeats,26.452269000000005
2021-11-01,Earwear,Crossbeats,11.487628
2021-12-01,Earwear,Crossbeats,11.386638
2022-04-01,Earwear,Crossbeats,13.855318
2022-06-01,Earwear,Crossbeats,7.718
2022-07-01,Earwear,Crossbeats,11.58031
2022-08-01,Earwear,Crossbeats,7.655693999999999
2022-10-01,Earwear,Crossbeats,10.496609
2022-11-01,Earwear,Crossbeats,15.728132
2022-12-01,Earwear,Crossbeats,9.365345
2023-01-01,Earwear,Crossbeats,15.184705
2023-02-01,Earwear,Crossbeats,12.003001
2023-03-01,Earwear,Crossbeats,5.433736
2023-04-01,Earwear,Crossbeats,7.321859
2023-05-01,Earwear,Crossbeats,8.620785
2023-06-01,Earwear,Crossbeats,4.178813
2023-07-01,Earwear,Crossbeats,6.488883
2023-08-01,Earwear,Crossbeats,9.880384
2023-09-01,Earwear,Crossbeats,12.434571000000002
2023-10-01,Earwear,Crossbeats,4.820985
2023-11-01,Earwear,Crossbeats,3.505998
2024-01-01,Earwear,Crossbeats,12.724054
2024-02-01,Earwear,Crossbeats,12.258496
2024-03-01,Earwear,Crossbeats,2.003994
2024-04-01,Earwear,Crossbeats,3.68795
2024-05-01,Earwear,Crossbeats,9.009989999999998
2024-06-01,Earwear,Crossbeats,2.849763
2024-07-01,Earwear,Crossbeats,10.003998
2024-08-01,Earwear,Crossbeats,6.997999999999998
2024-09-01,Earwear,Crossbeats,0.0454869999999999
2024-12-01,Earwear,Crossbeats,8.024988
2025-01-01,Earwear,Crossbeats,25.255385
2025-03-01,Earwear,Crossbeats,5.998499999999998
2025-04-01,Earwear,Crossbeats,10.504527000000005
2025-05-01,Earwear,Crossbeats,4.4925
2025-07-01,Earwear,Crossbeats,4.62099
2025-08-01,Earwear,Crossbeats,5.798
2025-09-01,Earwear,Crossbeats,5.440981
2025-10-01,Earwear,Crossbeats,6.197500000000001
2025-12-01,Earwear,Crossbeats,15.071984999999996
2026-02-01,Earwear,Crossbeats,6.931485
2026-03-01,Earwear,Crossbeats,4.312646
2021-07-01,Earwear,Dizo Innovation Pvt. Ltd,134.464432
2021-08-01,Earwear,Dizo Innovation Pvt. Ltd,29.881395
2021-09-01,Earwear,Dizo Innovation Pvt. Ltd,314.040387
2021-10-01,Earwear,Dizo Innovation Pvt. Ltd,85.68076400000001
2021-11-01,Earwear,Dizo Innovation Pvt. Ltd,73.448995
2021-12-01,Earwear,Dizo Innovation Pvt. Ltd,50.396529
2022-01-01,Earwear,Dizo Innovation Pvt. Ltd,105.024093
2022-02-01,Earwear,Dizo Innovation Pvt. Ltd,75.54411499999999
2022-03-01,Earwear,Dizo Innovation Pvt. Ltd,67.99188
2022-04-01,Earwear,Dizo Innovation Pvt. Ltd,52.05605400000001
2022-05-01,Earwear,Dizo Innovation Pvt. Ltd,64.409367
2022-06-01,Earwear,Dizo Innovation Pvt. Ltd,82.54424300000001
2022-07-01,Earwear,Dizo Innovation Pvt. Ltd,66.93500200000001
2022-08-01,Earwear,Dizo Innovation Pvt. Ltd,123.310527
